id_question_pivot;1;reponse_pivot
1;Est-ce qu’il faut un visa ?;Les ressortissants français arrivant dans les principaux aéroports du pays n'ont plus besoin de visa pour un séjour inférieur à 30 jours. Leur passeport doit toutefois comporter 2 pages vierges et être encore valide 6 mois après la date d'arrivée.
2;Est-ce qu'il faut un passeport ?;Oui, le passeport est obligatoire. Il doit toutefois comporter 2 pages vierges et être encore valide 6 mois après la date d'arrivée.
3;Est-ce qu’un test PCR est obligatoire ?;Oui, selon la situation sanitaire, il faut un test PCR de moins de 72h avant le vol.
4;Est-ce qu'il y a des vaccins obligatoires?;Comme dans le reste de l'Indonésie, il n'existe pas de vaccins obligatoires pour Bali. Toutefois, vous devez veiller à la mise à jour de certaines vaccinations. Celles contre la fièvre typhoïde, les hépatites A et B, la diphtérie, tétanos, poliomyélite, sont concernées.
5;Est- ce que je pourrais utiliser ma carte de crédit là-bas?? ;Dans les villes et les régions touristiques (comme Bali), les cartes bancaires sont acceptées dans les hôtels et resorts des catégories moyenne et supérieure, ainsi que dans les boutiques haut de gamme et les touropérateurs, qui appliquent une majoration de 3% environ. Les cartes MasterCard et Visa sont les plus couramment acceptées. Elles permettent de retirer de l’argent dans de nombreux distributeurs et banques.
6;Est-ce qu'il y a des frais de retrait supplémentaires ?;"Les cartes MasterCard et Visa sont les plus couramment acceptées. Elles permettent de retirer de l’argent dans de nombreux distributeurs et banques.
Avant votre départ, informez votre banque de votre voyage et renseignez-vous sur les frais liés aux retraits dans les DAB.
Les risques d’arnaque à la carte bancaire dans les DAB sont réels, surtout à Bali. Mieux vaut utiliser les DAB des banques."
7;Est-ce qu'il faut prévoir de l'argent liquide ?;À Bali, on peut utiliser sa carte de paiement pour les hôtels de luxe, certaines boutiques assez chic, les compagnies aériennes ou pour les gros achats. Partout ailleurs, il est nécessaire d'avoir de l'argent liquide.
8;Est-ce que je peux annuler le voyage à tout moment? ;Vous devez vous rapprocher de votre agence de voyage qui pourra vous proposer un avoir ou un remboursement. 
9;Quelle est la monnaie à Bali ?;La monnaie nationale est la roupie indonésienne ou rupiah (Rps).
10;Quel est le mode de remboursement en cas d’annulation du voyage ?;Vous devez vous rapprocher de votre agence de voyage qui pourra vous proposer un avoir à la place d'un remboursement. 
11;Quelles sont les préconisations sanitaires ?;Bali n’est pas une région du monde à risque, à condition de faire attention à son alimentation ainsi qu’à la provenance de l’eau potable.
12;Comment modifier ma réservation ? ;Vous pouvez contacter la compagnie aérienne ou le faire vous-même sur le site de la compagnie.
13;Comment annuler ma réservation ? ;Il faut se rendre sur le site de la compagnie ou les contactez directement pour voir les modalités d'annulation.
14;Est-ce que l'assurance voyage est obligatoire ?;Les frais médicaux pour les étrangers étant particulièrement élevés dans les pays asiatiques, il est impératif de souscrire avant le départ une assurance privée pour Bali, avec un plafond de prise en charge élevé et une assistance rapatriement, et ce afin de vous éviter une facture de soins de plusieurs milliers d'euros.
15;Est-ce qu'il y a un équivalent de carte européenne d'assurance maladie à l'étranger ?;Non, il n'existe pas d'équivalent à la Carte Européenne d'Assurance Maladie. Seuls les soins médicaux urgents et imprévus peuvent être pris en charge. Pensez à conserver l'ensemble des factures acquittées et des justificatifs de paiement et adressez-les, accompagnés du formulaire S3125 Soins reçus à l'étranger (PDF), à votre caisse d'assurance maladie. Vous serez remboursé sur la base des tarifs en vigueur de l'État de séjour et dans la limite des dépenses engagées.
16;Où est-ce que je peux trouver une assurance voyage?;Je vous envoie le lien d'un comparateur d'assurance voyage, https://reassurez-moi.fr/comparateur-assurance-voyage. Vous pouvez choisir selon vos critères.
17;Quelle est la meilleure assurance voyage ?;Je vous envoie le lien d'un comparateur d'assurance voyage, https://reassurez-moi.fr/comparateur-assurance-voyage. Vous pouvez choisir selon vos critères.
18;Quels sont les hôtels recommandés ?;"Pour avoir connaissance des hôtels les plus populaire vous pouvez consulter des comparateurs tel que : https://www.booking.com/ ; https://www.trivago.fr/ . Pour réserver un hôtel,  pouvez contacter l'hôtel directement en envoyant un email avec les détails du séjour, celui-ci vous recontactera en faisant une offre de séjour au meilleur prix. Vous pouvez également  passer par le biais d'une plateforme spécialisée dans la réservation d'hotels."
19;Quels sont les moyens de paiement pour régler mon voyage ? ;Sur le site vous pouvez payer votre billet par carte bancaire Visa ou MasterCard. Veuillez prendre en considération, qu'il est impossible d'effectuer le paiement partiel sur le site. Avant d'effectuer le paiement, veuillez contacter votre banque afin de vous assurer qu'il n'y ait pas de plafond d'utilisation de votre carte bancaire.
20;Est-ce qu'il y a des voyages organisés ?;"Oui, il existe différents sites et agences touristiques qui proposent des voyages organisés à Bali, personnalisable ou non. Voici quelques exemples de sites et agences : https://www.promovacances.com/vacances/circuit-touristique/sejour-circuit-bali/theme,/pays,20/ville,/ ; https://www.partir.com/Bali/voyage-organise/ ."
21;Est-il possible de réserver un guide touristique sur place ?;"Oui, il est tout a fait possible de réserver un guide touristique sur place mais aussi en amont du voyage. Voici quelques sites ou vous pouvez également réserver votre guide en avance : https://balisolo.com/liste-de-guides-a-bali-en-indonesie/ ; https://www.alibabuy.com/guide-touristique/bali.html ."
22;Est-il recommandé d'effectuer un change de monnaie avant le voyage ? ;De nos jour, vous pouvez retirer très facilement à Bali avec votre carte bancaire ou simplement changer votre monnaie à Bali directement dans un bureau de change. Le taux de change sera bien meilleur a Bali qu'en France, il est en général recommendé d'attendre d'etre a Bali pour obtenir des roupies. Les changeurs a Bali changent les devises principales. Les Billets de forte valeur (50€ ou 100€) auront un meilleur taux de change, de meme que les billets neufs en bon etat.
